Date,Symbol,Close,EMA1,EMA2,MACD,SIGNAL
2018-07-23,QQQ,179.56,178.5296,177.0601,1.4695,1.1622
2018-07-24,QQQ,180.3,178.8515,177.3687,1.4828,1.2023
2018-07-25,QQQ,182.82,179.573,177.8878,1.6852,1.2627
2018-07-26,QQQ,180.05,179.6598,178.0938,1.566,1.3006
2018-07-27,QQQ,177.62,179.2889,178.0486,1.2403,1.293
2018-07-30,QQQ,175.11,178.5291,177.7688,0.7603,1.2265
2018-07-31,QQQ,176.45,178.1511,177.6432,0.5079,1.1366
2018-08-01,QQQ,177.12,177.9636,177.5933,0.3703,1.0408
2018-08-02,QQQ,179.53,178.2484,177.7778,0.4706,0.9696
2018-08-03,QQQ,180.08,178.5814,177.997,0.5844,0.9214
2018-08-06,QQQ,181.14,179.0466,178.2964,0.7502,0.9
2018-08-07,QQQ,181.8,179.5472,178.6301,0.9172,0.9022
2018-08-08,QQQ,182.02,179.9968,178.9529,1.0439,0.9199
2018-08-09,QQQ,181.91,180.3447,179.2345,1.1101,0.9437
2018-08-10,QQQ,180.52,180.3766,179.357,1.0196,0.9532
2018-08-13,QQQ,180.32,180.3663,179.4487,0.9176,0.9487
2018-08-14,QQQ,181.45,180.5633,179.6393,0.924,0.9456
2018-08-15,QQQ,179.23,180.3209,179.6003,0.7206,0.9175
2018-08-16,QQQ,179.82,180.2298,179.6212,0.6086,0.8789
2018-08-17,QQQ,179.86,180.1626,179.644,0.5186,0.8339
2018-08-20,QQQ,179.7,180.0785,179.6493,0.4292,0.7833
2018-08-21,QQQ,180.36,180.1297,179.717,0.4127,0.7369
2018-08-22,QQQ,181.06,180.2988,179.8449,0.4539,0.7016
2018-08-23,QQQ,180.8,180.3899,179.9359,0.4541,0.6706
2018-08-24,QQQ,182.48,180.77,180.1782,0.5918,0.6608
2018-08-27,QQQ,184.34,181.4191,180.5745,0.8445,0.6837
2018-08-28,QQQ,184.61,181.9992,180.9589,1.0404,0.7283
2018-08-29,QQQ,186.74,182.8612,181.5094,1.3517,0.8063
2018-08-30,QQQ,186.41,183.5064,181.9762,1.5303,0.8968
2018-08-31,QQQ,186.65,184.078,182.4213,1.6567,0.9917
2018-09-04,QQQ,185.85,184.4002,182.7478,1.6523,1.0743
2018-09-05,QQQ,183.45,184.2274,182.8147,1.4127,1.1166
2018-09-06,QQQ,181.81,183.7879,182.719,1.0689,1.1106
2018-09-07,QQQ,181.11,183.301,182.5658,0.7352,1.0637
2018-09-10,QQQ,181.72,183.0135,182.4852,0.5283,0.9968
2018-09-11,QQQ,183.12,183.0329,182.5457,0.4872,0.9331
